ababa	a- ba- ba
rizashobora	ri- za- shobora
rizashyigikira	ri- za- shyigikira
rizashyira	ri- za- shyira
rizashyiraho	ri- za- shyira -ho
rizashyirwa	ri- za- shyira -w
rizasigara	ri- za- sigara
rizasigire	ri- za- siga -ir -e
rizasimbura	ri- za- simbura
rizasimburwa	ri- za- simbura -w
rizasohoka	ri- za- sohoka
rizasohoke	ri- za- sohoka -e
rizasohokera	ri- za- sohoka -ir
rizatahwa	ri- za- taha -w
rizatanga	ri- za- tanga
rizatangazwa	ri- za- tangaza -w
rizatangira	ri- za- tangira
rizatangirana	ri- za- tangira -an
rizatangire	ri- za- tangira -e
rizatangirira	ri- za- tangira -ir
rizatangiriraho	ri- za- tangira -ir -ho
rizatangirwaho	ri- za- tangira -w -ho
rizatangiza	ri- za- tangiza
rizatangizwa	ri- za- tangiza -w
rizategerezwa	ri- za- tegereza -w
rizategura	ri- za- tegura
rizategurwa	ri- za- tegura -w
rizatera	ri- za- tera
rizaterwa	ri- za- tera -w
rizatorwa	ri- za- torwa
rizatsindwa	ri- za- tsindwa
rizatugeraho	ri- za- tu- gera -ho
rizatuma	ri- za- tuma
rizaturukaho	ri- za- turuka -ho
rizatwara	ri- za- twara
rizava	ri- za- va
rizavaho	ri- za- va -ho
rizavugirwa	ri- za- vuga -ir -w
rizayifata	ri- za- yi- fata
rizayobora	ri- za- yobora
rizayoborwa	ri- za- yobora -w
rizaza	ri- za- za
rizazamuka	ri- za- zamuka
rizazamura	ri- za- zamura
rizazamuraho	ri- za- zamura -ho
rizazamurwa	ri- za- zamura -w
rizazana	ri- za- zana
rizaziba	ri- za- zi- ba
rizazibikora	ri- za- zi- bi- kora
rize	rize
rizemererwa	ri- za- emera -ir -w
rizemerwa	ri- za- emera -w
rizerekana	ri- za- erekana
rizibaho	ri- zi- ba -ho
rizibanda	ri- za- ibanda
rizifashisha	ri- zi- fasha -ish
rizifashishwa	ri- zi- fasha -ish -w
rizifatanya	ri- zi- fatanya
rizigamiye	ri- zigama -iye
rizigaragaramo	ri- zi- garagara -mo
rizigena	ri- zi- gena
rizigirwamo	ri- zi- girwa -mo
rizigisha	ri- za- igisha
rizigishwa	ri- za- igishwa
rizigize	ri- zi- gize
rizigwaho	ri- zi- gwa -ho
riziha	ri- zi- ha
rizihatira	ri- zi- ha- tira
rizihesha	ri- zi- ha -ish
rizikora	ri- zi- kora
rizimuka	ri- za- imuka
rizimukira	ri- zi- mu- kira
rizimurirwa	ri- zi- mu- rira -w
rizipfukamira	ri- zi- pfukama -ir
rizira	ri- zira
rizirengera	ri- zi- rengera
rizisaba	ri- zi- saba
rizishyiraho	ri- zi- shyira -ho
rizishyura	ri- za- ishyura
rizita	ri- za- ita
rizitabira	ri- za- itaba -ir
rizitabirwa	ri- za- itaba -ir -w
rizitiwe	ri- za- ita -iye -w
rizitwa	ri- za- itwa
riziye	ri- za -iye
riziyongera	ri- za- i- ongera
riziyongeraho	ri- za- i- ongera -ho
rizizera	ri- za- izera
rizizihiza	ri- za- izihiza
rizongera	ri- za- ongera
rizongerwa	ri- za- ongera -w
rizoroha	ri- za- oroha
rizoza	ri- za- oza
rizubakwa	ri- za- ubaka -w
rizunamira	ri- za- unama -ir
rizunguka	ri- za- unguka
rizungukira	ri- za- unguka -ir
rizuzura	ri- za- uzura
rizuzuza	ri- za- uzuza
rizwe	ri- za -w -e
robanura	robanura
robe	roba -e
rohama	rohama
rondereza	rondereza
rose	rose
roza	ra- oza
ruba	ru- ba
rubaba	ru- ba- ba
rubabaje	ru- babaje
rubabaniye	ru- ba- bana -iye
rubabarira	ru- babarira
rubabaza	ru- babaza
rubabaze	ru- ba- baze
rubaburanisha	ru- ba- burana -ish
rubacira	ru- ba- cira
rubafasha	ru- ba- fasha
rubafashamo	ru- ba- fasha -mo
rubafata	ru- ba- fata
rubafatiye	ru- ba- fata -iye
rubaga	ru- baga
rubagenera	ru- ba- genera
rubagezaho	ru- ba- geza -ho
rubagira	ru- ba- gira
rubagire	ru- ba- gira -e
rubagurira	ru- ba- gura -ir
rubaguriye	ru- ba- ku- riye
rubaha	ra- ubaha
rubahagarariye	ru- ba- hagarariye
rubahamagariye	ru- ba- hamagara -iye
rubahamagaye	ru- ba- hamagaye
rubahanwe	ru- ba- hana -w -e
rubaho	ru- ba -ho
rubajije	ru- bajije
rubaka	ra- ubaka
rubakatira	ru- ba- kata -ir
rubakatiye	ru- ba- kata -iye
rubakeneyeho	ru- ba- keneye -ho
rubakuriye	ru- ba- kura -iye
rubakwiye	ra- ubaka -w -iye
rubamariye	ru- ba- mara -iye
rubamba	ru- bamba
rubamenyesha	ru- ba- menya -ish
rubamo	ru- ba -mo
rubana	ru- bana
rubandikira	ru- ba- andika -ir
rubane	ru- bana -e
rubangikanye	ru- bangikanya -e
rubangurirwa	ru- ba- n- gura -ir -w
rubanguriwe	ru- ba- n- gura -iye -w
rubanje	ru- ba- n- je
rubanye	ru- banye
rubanza	ru- banza
rubanziriza	ru- banziriza
rubanzirizwa	ru- banziriza -w
rubaraseho	ru- ba- rase -ho
rubareba	ru- ba- reba
rubarenganura	ru- ba- renganura
rubarenganya	ru- ba- renganya
rubarengera	ru- ba- rengera
rubari	ru- ba- ri
rubarirwa	ru- ba- rira -w
rubarirwamo	ru- ba- rira -w -mo
rubarirwe	ru- ba- rira -w -e
rubariwemo	ru- ba- riwe -mo
rubarizwa	ru- ba- ri- za -w
rubarizwamo	ru- ba- ri- za -w -mo
rubarusha	ru- ba- rusha
rubarwa	ru- barwa
rubasaba	ru- ba- saba
rubasabira	ru- ba- saba -ir
rubasanga	ru- ba- sanga
rubasha	ru- basha
rubashakira	ru- ba- shakira
rubashe	ru- basha -e
rubashije	ru- bashije
rubasigiye	ru- ba- siga -iye
rubasobanurira	ru- ba- sobanura -ir
rubata	ru- ba- ta
rubategerejeho	ru- ba- tegereje -ho
rubateye	ru- ba- teye
rubatoza	ru- ba- toza
rubatsinda	ru- ba- tsinda
rubatunze	ru- ba- tunze
rubaye	ru- baye
rubayeho	ru- baye -ho
rubayemo	ru- baye -mo
rubaza	ru- baza
rubazamura	ru- ba- zamura
rube	ru- ba -e
rubegereye	ru- ba- egereye
rubeho	ru- ba -e -ho
rubemerera	ru- ba- emera -ir
rubengera	ru- ba- enga -ir
rubengerana	ru- bengerana
rubera	ru- bera
ruberanye	ru- bera -an -ye
rubere	ru- bera -e
rubereho	ru- bera -e -ho
ruberemo	ru- bera -e -mo
rubereye	ru- bereye
rubereyeho	ru- bereye -ho
rubereyemo	ru- bereye -mo
rubeshwaho	ru- ba -ish -w -ho
rubeshya	ru- beshya
rubiba	ru- biba
rubibatuma	ru- bi- ba- tuma
rubibona	ru- bi- bona
rubiburire	ru- bi- burira -e
rubifashijwemo	ru- bi- fashijwe -mo
rubifashishijwemo	ru- bi- fasha -ish -ije -w -mo
rubifite	ru- bi- fite
rubifitemo	ru- bi- fite -mo
rubifuzaho	ru- ba- ifuza -ho
rubigaragaza	ru- bi- garagaza
rubigarukaho	ru- bi- garuka -ho
rubigenerwa	ru- bi- genera -w
rubigenza	ru- bi- genza
rubigeraho	ru- bi- gera -ho
rubigiramo	ru- bi- gira -mo
rubigiremo	ru- bi- gira -e -mo
rubigishyigikiyemo	ru- bi- ki- shyigikiye -mo
rubigizemo	ru- bi- gize -mo
rubihabwa	ru- bi- habwa
rubihererwa	ru- ba- iherera -w
rubiherwa	ru- bi- hera -w
rubika	ru- bika
rubikesha	ru- bi- kesha
rubikora	ru- bi- kora
rubikoraho	ru- bi- kora -ho
rubikorerwa	ru- bi- korerwa
rubikoze	ru- bi- koze
rubikura	ru- bi- kura
rubikurane	ru- bi- kura -an -e
rubikwemo	ru- bi- kwa -e -mo
rubimburiye	ru- bi- n- buriye
rubimuhanaguraho	ru- bi- mu- hanagura -ho
rubinywa	ru- bi- nywa
rubirimo	ru- bi- ri -mo
rubirizi	ru- bi- ri- zi
rubisaba	ru- bi- saba
rubisabwe	ru- bi- saba -w -e
rubisabye	ru- bi- sabye
rubishatse	ru- bi- shatse
rubishimangire	ru- bi- shimangira -e
rubishimirwa	ru- bi- shimira -w
rubishingiye	ru- bi- shinga -iye
rubishoboye	ru- bi- shoboye
rubishyigikiye	ru- bi- shyigikiye
rubishyiramo	ru- bi- shyira -mo
rubisobanura	ru- bi- sobanura
rubitangaza	ru- bi- tangaza
rubitangiye	ru- bi- tangiye
rubitekereza	ru- bi- tekereza
rubitekerezaho	ru- bi- tekereza -ho
rubitse	ra- ubitse
rubitsemo	ra- ubitse -mo
rubitunganya	ru- bi- tunganya
rubivuga	ru- bi- vuga
rubivugaho	ru- bi- vuga -ho
rubizi	ru- bi- zi
rubohorwa	ru- bohora -w
rubohoye	ru- bohoye
rubona	ru- bona
rubonaho	ru- bona -ho
rubone	ru- bona -e
ruboneka	ru- boneka
rubonekaho	ru- boneka -ho
rubonekamo	ru- boneka -mo
rubonereho	ru- bonera -e -ho
rubonetse	ru- bonetse
ruboneye	ru- boneye
rubonwamo	ru- bonwa -mo
rubonye	ru- bonye
ruboshye	ru- boshye
rububaha	ru- ba- ubaha
rubumbira	ru- bumbira
rubunga	ru- bunga
rubunganira	ru- bu- n- ganira
rubunza	ru- bunza
rubura	ra- ubura
ruburanisha	ru- burana -ish
ruburanishe	ru- burana -ish -e
ruburanishije	ru- burana -ish -ije
ruburanishijwe	ru- burana -ish -ije -w
ruburanishwa	ru- burana -ish -w
ruburanishwamo	ru- burana -ish -w -mo
ruburanishwe	ru- burana -ish -w -e
ruburanwa	ru- burana -w
ruburwa	ra- ubura -w
rubuza	ru- buza
rubuze	ru- buze
rubwira	ru- bwira
rubyara	ru- byara
rubyarana	ru- byara -an
rubyaye	ru- byaye
rubyerekana	ru- bi- erekana
rubyibushye	ru- byibushye
rubyifatamo	ru- bi- ifata -mo
rubyifuza	ru- bi- ifuza
rubyigireho	ru- byiga -ir -e -ho
rubyikorera	ru- bi- ikorera
rubyina	ru- byina
rubyiriko	ru- bi- i- ri -ko
rubyitabira	ru- bi- itaba -ir
rubyiteguye	ru- bi- iteguye
rubyiyumvamo	ru- bi- i- umva -mo
rubyujuje	ru- bi- ujuje
rubyumva	ru- bi- umva
rubyumve	ru- bi- umva -e
rubyumvikanyeho	ru- bi- umvikanye -ho
ruca	ru- ca
rucamo	ru- ca -mo
rucana	ru- cana
rucanye	ru- canye
ruceceke	ru- ceceka -e
rucecetse	ru- cecetse
rucika	ru- cika
rucike	ru- cika -e
rucisha	ru- ca -ish
ruciye	ru- ciye
rucukura	ru- cukura
rucumbikiye	ru- cumbikiye
rucura	ru- cura
rucuruza	ru- curuza
rucuruzwa	ru- curuza -w
rucyegukanye	ru- ki- eguka -an -ye
rucyumva	ru- ki- umva
rucyura	ru- cyura
rudaca	ru- ta- ca
rudacana	ru- ta- cana
rudacuranwa	ru- ta- cura -an -w
rudafasha	ru- ta- fasha
rudafite	ru- ta- fite
rudafitemo	ru- ta- fite -mo
rudahagije	ru- ta- hagije
rudahari	ru- ta- ha- ri
rudahase	ru- ta- hase
rudahigwa	ru- ta- higa -w
rudahugukira	ru- ta- huguka -ir
rudahunga	ru- ta- hunga
rudahura	ru- ta- hura
rudahwema	ru- ta- hwema
rudakabije	ru- ta- kabije
rudakamura	ru- ta- kamura
rudakeneye	ru- ta- keneye
rudakijijwe	ru- ta- kijijwe
rudakomeye	ru- ta- komeye
rudakomeza	ru- ta- komeza
rudakora	ru- ta- kora
rudakorera	ru- ta- korera
rudakoreshwa	ru- ta- koreshwa
rudakoze	ru- ta- koze
rudakunze	ru- ta- kunze
rudakurikiranwa	ru- ta- ku- ri- kira -an -w
rudakurikiranwe	ru- ta- ku- ri- kira -an -w -e
rudakuye	ru- ta- kuye
rudakwiye	ru- ta- kwa -iye
rudapfa	ru- ta- pfa
rudasaba	ru- ta- saba
rudasanzwe	ru- ta- sanzwe
rudashaka	ru- ta- shaka
rudashidikanywaho	ru- ta- shidikanya -w -ho
rudashira	ru- ta- shira
rudashobora	ru- ta- shobora
rudashoboye	ru- ta- shoboye
rudashyigikiye	ru- ta- shyigikiye
rudashyira	ru- ta- shyira
rudashyirwa	ru- ta- shyira -w
rudashyize	ru- ta- shyize
rudasigaye	ru- ta- sigaye
rudasobanukiwe	ru- ta- sobanukiwe
rudasubira	ru- ta- subira
rudasubiramo	ru- ta- subira -mo
rudasubirwamo	ru- ta- subira -w -mo
rudasumbwa	ru- ta- sumba -w
rudata	ru- ta- ta
rudatandukanya	ru- ta- tandukanya
rudatandukanye	ru- ta- tandukanye
rudatanga	ru- ta- tanga
rudatangaza	ru- ta- tangaza
rudatangizwa	ru- ta- tangiza -w
rudatera	ru- ta- tera
rudatetse	ru- ta- tetse
rudateze	ru- ta- teze
rudatezuka	ru- ta- tezuka
rudatinya	ru- ta- tinya
rudatunganye	ru- ta- tunganye
rudatunganyije	ru- ta- tunganya -ije
rudatunze	ru- ta- tunze
rudaturanye	ru- ta- turanye
rudaturiye	ru- ta- tu- riye
rudatwaye	ru- ta- twaye
rudindiza	ru- dindiza
rudindizwa	ru- dindiza -w
rudufasha	ru- tu- fasha
rudufashe	ru- tu- fashe
ruduha	ru- tu- ha
rufasha	ru- fasha
rufashe	ru- fashe
rufashije	ru- fashije
rufashwa	ru- fashwa
rufata	ru- fata
rufataho	ru- fata -ho
rufatanije	ru- fatanije
rufatanya	ru- fatanya
rufatanyije	ru- fatanya -ije
rufate	ru- fata -e
rufatira	ru- fata -ir
rufatire	ru- fata -ir -e
rufatirwa	ru- fata -ir -w
rufatirwaho	ru- fata -ir -w -ho
rufatirwamo	ru- fata -ir -w -mo
rufatiye	ru- fata -iye
rufatwa	ru- fata -w
rufatwaho	ru- fata -w -ho
rufite	ru- fite
rufiteho	ru- fite -ho
rufitemo	ru- fite -mo
rufiteyo	ru- fite -yo
rufunga	ru- funga
rufunge	ru- funga -e
rufungiye	ru- funga -iye
rufunguke	ru- funguka -e
rufungura	ru- fungura
rufunguye	ru- funguye
rufunze	ru- funze
rugaba	ru- gaba
rugabanijemo	ru- gabanije -mo
rugabanuka	ru- gabanuka
rugabanuke	ru- gabanuka -e
rugabanya	ru- gabanya
rugabanyijemo	ru- gabanya -ije -mo
rugaburira	ru- gaburira
rugaburirwa	ru- gaburirwa
rugaburirwamo	ru- gaburirwa -mo
rugaburiwe	ru- gaburiwe
rugacurikamo	ru- ka- curika -mo
rugafasha	ru- ka- fasha
rugafashwa	ru- ka- fashwa
rugafata	ru- ka- fata
rugafatanya	ru- ka- fatanya
rugafatwa	ru- ka- fata -w
rugaga	ru- gaga
rugagara	ru- gagara
rugagaragara	ru- ka- garagara
rugagaragaza	ru- ka- garagaza
rugagaza	ru- gagaza
rugahabwa	ru- ka- habwa
rugahagarika	ru- ka- hagarika
rugahaguruka	ru- ka- haguruka
rugahahayo	ru- ka- haha -yo
rugahama	ru- ka- hama
rugahana	ru- ka- hana
rugahanisha	ru- ka- hana -ish
rugaharanira	ru- ka- haranira
rugahashya	ru- ka- ha- shya
rugahinduka	ru- ka- hinduka
rugahindura	ru- ka- hindura
rugahingwa	ru- ka- hinga -w
rugahita	ru- ka- hita
rugahitamo	ru- ka- hita -mo
rugahorana	ru- ka- hora -an
rugahunguka	ru- ka- hunguka
rugahura	ru- ka- hura
rugahuzwa	ru- ka- huza -w
rugakaba	ru- ka- ka- ba
rugakangurira	ru- ka- kangura -ir
rugakangurirwa	ru- ka- kangura -ir -w
rugakererwa	ru- ka- kererwa
rugakina	ru- ka- kina
rugakira	ru- ka- kira
rugakomeza	ru- ka- komeza
rugakora	ru- ka- kora
rugakoresha	ru- ka- koresha
rugakoreshwa	ru- ka- koreshwa
rugakorwa	ru- ka- korwa
rugakuba	ru- ka- kuba
rugakumira	ru- ka- kumira
rugakundishwa	ru- ka- kunda -ish -w
rugakura	ru- ka- kura
rugakurana	ru- ka- kura -an
rugakwira	ru- ka- kwira
rugamba	ru- gamba
rugambiriye	ru- gamba -ir -iye
rugambwa	ru- gamba -w
rugamije	ru- gamije
rugana	ru- gana
ruganamo	ru- gana -mo
ruganira	ru- ganira
ruganisha	ru- gana -ish
ruganza	ru- ganza
rugapfa	ru- ka- pfa
rugaragaje	ru- garagaje
rugaragara	ru- garagara
rugaragaraho	ru- garagara -ho
rugaragaramo	ru- garagara -mo
rugaragare	ru- garagara -e
rugaragarira	ru- garagara -ir
rugaragarire	ru- garagara -ir -e
rugaragaza	ru- garagaza
rugaragaze	ru- garagaza -e
rugaragazwa	ru- garagaza -w
rugarara	ru- ka- rara
rugaruka	ru- garuka
rugarukira	ru- garuka -ir
rugarukwaho	ru- garuka -w -ho
rugarura	ru- ka- rura
rugarutse	ru- garutse
rugasa	ru- ka- sa
rugasaba	ru- ka- saba
rugasabana	ru- ka- sabana
rugasanga	ru- ka- sanga
rugashaka	ru- ka- shaka
rugashira	ru- ka- shira
rugashishikarira	ru- ka- shishikara -ir
rugashobora	ru- ka- shobora
rugashyigikira	ru- ka- shyigikira
rugashyikira	ru- ka- shyika -ir
rugasiba	ru- ka- siba
rugasigara	ru- ka- sigara
rugasinzira	ru- ka- sinzira
rugasira	ru- ka- sa -ir
rugasobanukirwa	ru- ka- sobanukirwa
rugasobanurirwa	ru- ka- sobanura -ir -w
rugasomwa	ru- ka- soma -w
rugasubika	ru- ka- subika
rugasubikwa	ru- ka- subikwa
rugasubirana	ru- ka- subira -an
rugasubirwamo	ru- ka- subira -w -mo
rugasuzumana	ru- ka- suzuma -an
rugata	ru- ka- ta
rugatahwa	ru- ka- taha -w
rugatandukana	ru- ka- tandukana
rugatanga	ru- ka- tanga
rugatangira	ru- ka- tangira
rugategereza	ru- ka- tegereza
rugateguranwa	ru- ka- tegura -an -w
rugategurira	ru- ka- tegura -ir
rugatekana	ru- ka- teka -an
rugatema	ru- ka- tema
rugatera	ru- ka- tera
rugaterera	ru- ka- terera
rugaterwa	ru- ka- tera -w
rugatinda	ru- ka- tinda
rugatinya	ru- ka- tinya
rugatinyuka	ru- ka- tinyuka
rugatora	ru- ka- tora
rugatozwa	ru- ka- toza -w
rugatsinda	ru- ka- tsinda
rugatsindwa	ru- ka- tsindwa
rugatukura	ru- ka- tukura
rugatuma	ru- ka- tuma
rugatunganya	ru- ka- tunganya
rugatungurwa	ru- ka- tungurwa
rugaturuka	ru- ka- turuka
rugaya	ru- gaya
rugejeje	ru- gejeje
rugemura	ru- gemura
rugemurira	ru- gemurira
rugena	ru- gena
rugenda	ru- genda
rugendane	ru- gendana -e
rugendanwa	ru- gendana -w
rugende	ru- genda -e
rugendera	ru- genda -ir
rugenderaho	ru- genda -ir -ho
rugendere	ru- genda -ir -e
rugenderwaho	ru- genda -ir -w -ho
rugendwa	ru- genda -w
rugenera	ru- genera
rugenerwa	ru- genera -w
rugenga	ru- genga
rugenge	ru- genga -e
rugengwa	ru- genga -w
rugenwa	ru- gena -w
rugenza	ru- genza
rugenze	ru- genze
rugenzura	ru- genzura
rugera	ru- gera
rugerageza	ru- gerageza
rugeraho	ru- gera -ho
rugerayo	ru- gera -yo
rugere	ru- gera -e
rugereko	ru- gera -e -ko
rugereranya	ru- gereranya
rugereranyije	ru- gereranya -ije
rugereranywa	ru- gereranya -w
rugeretse	ru- geretse
rugerwaho	ru- gera -w -ho
rugeza	ru- geza
rugeze	ru- geze
rugezeho	ru- geze -ho
rugezemo	ru- geze -mo
rugezweho	ru- geza -w -e -ho
rugezwemo	ru- geza -w -e -mo
rugifatire	ru- ki- fata -ir -e
rugifite	ru- ki- fite
rugihangayikishijwe	ru- ki- hangayika -ish -ije -w
rugihari	ru- ki- ha- ri
rugikeneye	ru- ki- keneye
rugikennye	ru- ki- kennye
rugikomeje	ru- ki- komeje
rugikomeza	ru- ki- komeza
rugikora	ru- ki- kora
rugikoresha	ru- ki- koresha
rugikubita	ru- ki- kubita
rugira	ru- gira
rugirana	ru- gira -an
rugiranye	ru- gira -an -ye
rugire	ru- gira -e
rugireyo	ru- gira -e -yo
rugirira	ru- gira -ir
rugirire	ru- gira -ir -e
rugirirwa	ru- gira -ir -w
rugirirwe	ru- gira -ir -w -e
rugiriwe	ru- ki- riwe
rugiriye	ru- gira -iye
rugiriyeho	ru- gira -iye -ho
rugirwa	ru- girwa
rugirwe	ru- girwa -e
rugisabwa	ru- ki- saba -w
rugishakisha	ru- ki- shakisha
rugishingwa	ru- ki- shinga -w
rugisomwa	ru- ki- soma -w
rugisuzumye	ru- ki- suzumye
rugitanga	ru- ki- tanga
rugitangira	ru- ki- tangira
rugiye	ru- giye
rugiyeho	ru- giye -ho
rugize	ru- gize
rugizwe	ru- ki- za -w -e
rugomba	ru- gomba
rugufasha	ru- ku- fasha
ruguhabwa	ru- ku- habwa
rugukubita	ru- ku- kubita
ruguma	ru- guma
rugumana	ru- gumana
rugura	ru- gura
rugurisha	ru- gurisha
rugurishijwe	ru- gurishijwe
rugurwa	ru- gurwa
rugwa	ru- gwa
rugwira	ru- gwira
rugwirirwa	ru- gwira -ir -w
ruha	ruha
ruhabwa	ru- habwa
ruhabwe	ru- habwa -e
ruhafite	ru- ha- fite
ruhagaragara	ru- ha- garagara
ruhagarara	ru- hagarara
ruhagarariwe	ru- hagarara -iye -w
ruhagarariwemo	ru- hagarara -iye -w -mo
ruhagarariye	ru- hagarariye
ruhagarikwe	ru- hagarika -w -e
ruhagaririwe	ru- ha- ka- rira -iye -w
ruhagaritse	ru- hagaritse
ruhagaze	ru- ha- gaze
ruhagazeho	ru- ha- gaze -ho
ruhagera	ru- ha- gera
ruhageza	ru- ha- geza
ruhagije	ru- hagije
ruhaha	ru- haha
ruhahombera	ru- ha- homba -ir
ruhahurira	ru- ha- hura -ir
ruhaka	ru- haka
ruhakana	ru- hakana
ruhakanye	ru- hakana -ye
ruhakura	ru- ha- kura
ruhamagarirwa	ru- hamagara -ir -w
ruhamagaye	ru- hamagaye
ruhambaye	ru- ha- ambaye
ruhame	ru- hama -e
ruhamya	ru- hamya
ruhamye	ru- hamye
ruhana	ru- hana
ruhane	ru- hana -e
ruhanga	ru- hanga
ruhangane	ru- hangana -e
ruhanganye	ru- hanganye
ruhangayikishije	ru- hangayika -ish -ije
ruhangayikishijwe	ru- hangayika -ish -ije -w
ruhangirikira	ru- ha- angirika -ir
ruhanira	ru- hana -ir
ruhanitse	ru- hanitse
ruhanyura	ru- ha- nyura
ruhanze	ru- hanze
ruharanira	ru- haranira
ruhare	ru- hara -e
ruhari	ru- ha- ri
ruharurwa	ru- harura -w
ruharwa	ru- hara -w
ruhashya	ru- ha- shya
ruhasiga	ru- ha- siga
ruhatanira	ru- ha- tana -ir
ruhaturiye	ru- ha- tu- riye
ruhavurirwe	ru- ha- vura -ir -w -e
ruhawe	ru- hawe
ruhaye	ru- haye
ruhazi	ru- ha- zi
ruhe	ruha -e
ruhebuje	ru- hebuje
ruhemba	ru- hemba
ruhembe	ru- hemba -e
ruhenda	ru- henda
ruhende	ru- henda -e
ruhera	ru- hera
ruheraho	ru- hera -ho
ruherekejwe	ru- ha- ereka -ije -w
ruherekeza	ru- herekeza
ruhererye	ru- hera -ir -ye
ruhereye	ru- hereye
ruheruka	ru- heruka
ruherukwaho	ru- heruka -w -ho
ruherutse	ru- herutse
ruhesha	ruha -ish
ruheza	ru- heza
ruhiga	ru- higa
ruhima	ru- ha- ima
ruhinduka	ru- hinduka
ruhinduke	ru- hinduka -e
ruhindura	ru- hindura
ruhindure	ru- hindura -e
ruhinga	ru- hinga
ruhinguka	ru- hinguka
ruhingwa	ru- hinga -w
ruhingwamo	ru- hinga -w -mo
ruhinzeho	ru- hinze -ho
ruhish	ruha -ish
ruhisha	ru- hisha
ruhishiye	ru- hisha -iye
ruhita	ru- hita
ruhitamo	ru- hita -mo
ruhitiwemo	ru- hita -iye -w -mo
ruhomba	ru- homba
ruhora	ru- hora
ruhoraho	ru- hora -ho
ruhorana	ru- hora -an
ruhorane	ru- hora -an -e
ruhore	ru- hora -e
ruhoreho	ru- hora -e -ho
ruhugira	ru- hugira
ruhugiye	ru- hugiye
ruhugukiwe	ru- huguka -iye -w
ruhugurirwa	ru- hugura -ir -w
ruhuguriwe	ru- hugura -iye -w
ruhugurwa	ru- hugurwa
ruhuka	ruhuka
ruhuma	ru- huma
ruhumanya	ru- humanya
ruhumeka	ru- humeka
ruhumuriza	ru- humuriza
ruhunga	ru- hunga
ruhura	ru- hura
ruhurijwemo	ru- hura -ije -w -mo
ruhurira	ru- hura -ir
ruhuriramo	ru- hura -ir -mo
ruhurirane	ru- ha- urira -an -e
ruhurirwaho	ru- hura -ir -w -ho
ruhuriweho	ru- hura -iye -w -ho
ruhuriwemo	ru- hura -iye -w -mo
ruhuriye	ru- hura -iye
ruhuriyeho	ru- hura -iye -ho
ruhuriyemo	ru- hura -iye -mo
ruhurura	ru- hurura
ruhuye	ru- huye
ruhuza	ru- huza
ruhuze	ru- huze
ruikoresha	ru- i- koresha
ruje	ru- je
rujijutse	ru- jijutse
rujya	ru- jya
rujyaho	ru- jya -ho
rujyana	ru- jyana
rujyane	ru- jyana -e
rujyanye	ru- jyanye
rujyayo	ru- jya -yo
rujye	ru- jya -e
ruka	ruka
rukaba	ru- ka- ba
rukabafasha	ru- ka- ba- fasha
rukabagurira	ru- ka- ba- gura -ir
rukabaha	ru- ka- ba- ha
rukabakaba	ru- ka ba- ka- ba
rukabakatira	ru- ka- ba- kata -ir
rukabamenyesha	ru- ka- ba- menya -ish
rukabamo	ru- ka- ba -mo
rukabanga	ru- ka- ba- anga
rukabanza	ru- ka- banza
rukabarirwa	ru- ka- ba- rira -w
rukabarya	ru- ka- ba- rya
rukabasha	ru- ka- basha
rukabera	ru- ka- bera
rukabibafashamo	ru- ka bi- ba- fasha -mo
rukabigiramo	ru- ka- bi- gira -mo
rukabiha	ru- ka- biha
rukabihabwa	ru- ka- bi- habwa
rukabije	ru- kabije
rukabika	ru- ka- bika
rukabimara	ru- ka- bi- mara
rukabirya	ru- ka- bi- rya
rukabisabwa	ru- ka- bi- saba -w
rukabisuzumana	ru- ka- bi- suzuma -an
rukabivanamo	ru- ka- bi- vana -mo
rukabona	ru- ka- bona
rukaboneraho	ru- ka- bonera -ho
rukabonwamo	ru- ka- bonwa -mo
rukabubika	ru- ka- bu- bika
rukabura	ru- ka- bura
rukaburanishwa	ru- ka- burana -ish -w
rukabyanga	ru- ka- bi- anga
rukabyima	ru- ka- bi- ima
rukabyimba	ru- ka- byimba
rukabyirengagiza	ru- ka- bi- irengagiza
rukabyumva	ru- ka- bi- umva
rukagana	ru- ka- gana
rukaganza	ru- ka- ganza
rukagaragara	ru- ka- garagara
rukagaragare	ru- ka- garagara -e
rukagaragarira	ru- ka- garagara -ir
rukagaragaza	ru- ka- garagaza
rukagarukira	ru- ka- garuka -ir
rukagarura	ru- ka- ka- rura
rukagatera	ru- ka- ka- tera
rukagenda	ru- ka- genda
rukagenzurwa	ru- ka- genzura -w
rukagera	ru- ka- gera
rukagerwaho	ru- ka- gera -w -ho
rukageza	ru- ka- geza
rukagira	ru- ka- gira
rukagirwa	ru- ka- girwa
rukaguma	ru- ka- guma
rukagurishwa	ru- ka- gurishwa
rukagurwa	ru- ka- gurwa
rukagwa	ru- ka- gwa
rukagwira	ru- ka- gwira
rukahagera	ru- ka- ha- gera
rukahahurira	ru- ka- ha- hura -ir
rukahasiga	ru- ka- ha- siga
rukajya	ru- ka- jya
rukajyana	ru- ka- jyana
rukaka	ru- ka- aka
rukakigiramo	ru- ka- ki- gira -mo
rukakira	ru- ka- kira
rukakirusha	ru- ka- ki- rusha
rukakota	ru- ka- ka- ota
rukamara	ru- ka- mara
rukamenwa	ru- ka- mena -w
rukamenya	ru- ka- menya
rukamenywa	ru- ka- menya -w
rukamera	ru- ka- mera
